route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
S1,178178214370053,14370053, ,24139,0, , 
S2,178178714370058,14370058, ,24243,0, , 
S4,178321214371198,14371198, ,900739,0, , 
XP1,178320014374825,14374825, ,900327,0, , 
XP2,178195414376718,14376718, ,910338,0, , 
S9,178236914379817,14379817, ,930440,0, , 
XP2,178314614388162,14388162, ,910309,0, , 
RE3,178214314382435,14382435, ,900971,0, , 
S2,178486414384619,14384619, ,922663,0, , 
R22,178189014370134,14370134, ,910028,0, , 
RE1,178271514370799,14370799, ,900019,0, , 
S4,178273914370823,14370823, ,901709,0, , 
R27,178233314370499,14370499, ,901266,0, , 
S4,178238014370539,14370539, ,902720,0, , 
S1,178447014372229,14372229, ,910852,0, , 
S4,178444814372207,14372207, ,902740,0, , 
XP1,178320014371187,14371187, ,900327,0, , 
XP1,178272714374449,14374449, ,900380,0, , 
RE3,178214314373993,14373993, ,900971,0, , 
R17,178360614375152,14375152, ,901148,0, , 
R22,178448714375879,14375879, ,900052,0, , 
S2,178402714375501,14375501, ,922687,0, , 
S4,178407114375536,14375536, ,902724,0, , 
S2,178486714376180,14376180, ,922651,0, , 
R28,178487114376184,14376184, ,910357,0, , 
S50,178362214378056,14378056, ,928324,0, , 
S2,178317814377695,14377695, ,922648,0, , 
R22,178489314381853,14381853, ,911012,0, , 
S3,178272414380098,14380098, ,900871,0, , 
R3,178364014380834,14380834, ,912973,0, , 
R28,178365414380848,14380848, ,910332,0, , 
S4,178280214380161,14380161, ,902762,0, , 
XP1,178357514388425,14388425, ,900353,0, , 
S2,178178914370060,14370060, ,24221,0, , 
R14,178182514370083,14370083, ,25846,0, , 
RE13,178182914370086,14370086, ,2343,0, , 
R34,178183214370088,14370088, ,10483,0, , 
S50,178185014370099,14370099, ,25589,0, , 
R28,178199114370217,14370217, ,2917,0, , 
S8,178199314370219,14370219, ,24840,0, , 
S5,178199914370225,14370225, ,24515,0, , 
S11,178225414370440,14370440, ,25052,0, , 
R23,178240714370562,14370562, ,10244,0, , 
R18,178240914370564,14370564, ,10443,0, , 
R11,178242114370576,14370576, ,10165,0, , 
S6,178243314370585,14370585, ,24642,0, , 
S6,178244714370596,14370596, ,24651,0, , 
RE11,178255314370684,14370684, ,2177,0, , 
RE11,178256014370689,14370689, ,2174,0, , 
RE11,178256314370691,14370691, ,2170,0, , 
S9,178256714370692,14370692, ,24919,0, , 
R38,178256914370694,14370694, ,10858,0, , 
S9,178257014370695,14370695, ,24949,0, , 
S9,178257914370702,14370702, ,24926,0, , 
S11,178260114370713,14370713, ,25277,0, , 
RE5,178260314370715,14370715, ,2545,0, , 
