service_id,date,exception_type
94676111497995,20200823,2
94676111497995,20200830,2
94676111497995,20200906,2
94676111497995,20200913,2
94676111497995,20200920,2
94676111497995,20200927,2
94676111497995,20201004,2
94676111497995,20201011,2
94676111497995,20201018,2
94676111497995,20201025,2
94676111497995,20201101,2
94676111497995,20201108,2
94676111497995,20201115,2
94676111497995,20201122,2
94676111497995,20201129,2
94676111497995,20201206,2
94686511499064,20191215,2
94686511499064,20191222,2
94686511499064,20191229,2
94686511499064,20200105,2
94686511499064,20200112,2
94686511499064,20200119,2
94686511499064,20200126,2
94686511499064,20200202,2
94686511499064,20200209,2
94686511499064,20200216,2
94686511499064,20200223,2
94686511499064,20200301,2
94686511499064,20200308,2
94686511499064,20200315,2
94686511499064,20200322,2
94686511499064,20200329,2
94686511499064,20200405,2
94686511499064,20200412,2
94686511499064,20200419,2
94686511499064,20200426,2
94686511499064,20200503,2
94686511499064,20200510,2
94686511499064,20200517,2
94686511499064,20200524,2
94686511499064,20200531,2
94686511499064,20200607,2
94686511499064,20200614,2
94686511499064,20200621,2
94686511499064,20200628,2
94686511499064,20200705,2
94686511499064,20200712,2
94686511499064,20200719,2
94686511499064,20200726,2
94686511499064,20200802,2
94686511499064,20200809,2
94686511499064,20200816,2
94686511499064,20200823,2
94686511499064,20200830,2
94686511499064,20200906,2
94686511499064,20200913,2
94686511499064,20200920,2
94686511499064,20200927,2
94686511499064,20201004,2
94686511499064,20201011,2
94686511499064,20201018,2
94686511499064,20201025,2
94686511499064,20201101,2
94686511499064,20201108,2
94686511499064,20201115,2
94686511499064,20201122,2
94686511499064,20201129,2
94686511499064,20201206,2
94678211498100,20191215,2
94678211498100,20191222,2
94678211498100,20191229,2
94678211498100,20200105,2
94678211498100,20200112,2
94678211498100,20200119,2
94678211498100,20200126,2
94678211498100,20200202,2
94678211498100,20200209,2
94678211498100,20200216,2
94678211498100,20200223,2
94678211498100,20200301,2
94678211498100,20200308,2
94678211498100,20200315,2
94678211498100,20200322,2
94678211498100,20200329,2
94678211498100,20200405,2
94678211498100,20200412,2
94678211498100,20200419,2
94678211498100,20200426,2
94678211498100,20200503,2
94678211498100,20200510,2
94678211498100,20200517,2
94678211498100,20200524,2
94678211498100,20200531,2
94678211498100,20200607,2
94678211498100,20200614,2
94678211498100,20200621,2
94678211498100,20200628,2
94678211498100,20200705,2
94678211498100,20200712,2
94678211498100,20200719,2
94678211498100,20200726,2
94678211498100,20200802,2
94678211498100,20200809,2
94678211498100,20200816,2
94678211498100,20200823,2
94678211498100,20200830,2
94678211498100,20200906,2
94678211498100,20200913,2
94678211498100,20200920,2
94678211498100,20200927,2
94678211498100,20201004,2
94678211498100,20201011,2
94678211498100,20201018,2
94678211498100,20201025,2
94678211498100,20201101,2
94678211498100,20201108,2
94678211498100,20201115,2
94678211498100,20201122,2
94678211498100,20201129,2
94678211498100,20201206,2
94713111502232,20191215,2
94713111502232,20191222,2
94713111502232,20191229,2
94713111502232,20200105,2
94713111502232,20200112,2
94713111502232,20200119,2
94713111502232,20200126,2
94713111502232,20200202,2
94713111502232,20200209,2
94713111502232,20200216,2
94713111502232,20200223,2
94713111502232,20200301,2
94713111502232,20200308,2
94713111502232,20200315,2
94713111502232,20200322,2
94713111502232,20200329,2
94713111502232,20200405,2
94713111502232,20200412,2
94713111502232,20200419,2
94713111502232,20200426,2
94713111502232,20200503,2
94713111502232,20200510,2
94713111502232,20200517,2
94713111502232,20200524,2
94713111502232,20200531,2
94713111502232,20200607,2
94713111502232,20200614,2
94713111502232,20200621,2
94713111502232,20200628,2
94713111502232,20200705,2
94713111502232,20200712,2
94713111502232,20200719,2
94713111502232,20200726,2
94713111502232,20200802,2
94713111502232,20200809,2
94713111502232,20200816,2
94713111502232,20200823,2
94713111502232,20200830,2
94713111502232,20200906,2
94713111502232,20200913,2
94713111502232,20200920,2
94713111502232,20200927,2
94713111502232,20201004,2
94713111502232,20201011,2
94713111502232,20201018,2
94713111502232,20201025,2
94713111502232,20201101,2
94713111502232,20201108,2
94713111502232,20201115,2
94713111502232,20201122,2
94713111502232,20201129,2
94713111502232,20201206,2
94696511500294,20191215,2
94696511500294,20191222,2
94696511500294,20191229,2
94696511500294,20200105,2
94696511500294,20200112,2
94696511500294,20200119,2
94696511500294,20200126,2
94696511500294,20200202,2
94696511500294,20200209,2
94696511500294,20200216,2
94696511500294,20200223,2
94696511500294,20200301,2
94696511500294,20200308,2
94696511500294,20200315,2
